#timestamp,ProcessCpuTime,FreePhysicalMemorySize,ThreadCount
3500278109927,29390625000,357515264,52
3530273500682,29828125000,392822784,52
3560276121965,30750000000,384311296,57
3590223145399,31453125000,384753664,56
3620222818263,32062500000,342999040,55
3650133809464,32531250000,350617600,55
3680129623178,33375000000,343969792,57
3710133264143,33953125000,335671296,57
3740132148639,34796875000,364580864,56
3770136620715,35234375000,367153152,56
3800142224500,36125000000,375648256,55
3830147826888,36562500000,453029888,55
3860153428997,37437500000,511369216,56
3890159045912,37921875000,512987136,56
3920168515272,38812500000,510570496,56
3950173137926,39296875000,510873600,57
3980178759032,40093750000,511414272,56
4010183371908,40671875000,515440640,56
4040188958931,41593750000,515207168,56
4070193561751,42359375000,514723840,57
4100177652746,43187500000,507428864,57
4130182252772,43625000000,510496768,57
4160187800684,44500000000,508067840,57
4190192363554,45000000000,506945536,56
4220196013739,45765625000,441036800,56
4250200596444,46296875000,483684352,56
4280206168102,47250000000,484073472,56
4310210780979,47718750000,484261888,56
4340216319951,48734375000,485650432,59
4370220875837,49281250000,485916672,59
4400233294175,50234375000,479641600,58
4430237901185,50750000000,478752768,58
4460243405795,51671875000,469901312,57
4490247025809,52250000000,469147648,58
4520252599701,53140625000,460759040,57
4550257151677,53640625000,460881920,57
4580250046863,54203125000,454283264,56
4610252686305,54687500000,437403648,56
4640258232261,55390625000,433221632,54
4670262843741,55859375000,432553984,54
4700268402827,56500000000,432590848,54
4730272013901,56906250000,426909696,54
4760277552314,57562500000,427462656,55
4790283151070,57984375000,443305984,55
4820288669928,58750000000,432209920,55
4850291340938,59203125000,450519040,55
4880296935225,59781250000,436883456,57
4910301518489,60250000000,423931904,57
4940307088470,61062500000,434786304,56
4970311684864,61687500000,434860032,56
5000317285856,62500000000,433840128,59
5030322822593,63187500000,381267968,59
5060330561845,63921875000,372416512,58
5090336896728,64468750000,330821632,57
5120342455256,65265625000,329662464,58
5150347083498,65750000000,329621504,57
5180352654317,66687500000,329535488,56
5210357247639,67265625000,329719808,56
5240362846395,68062500000,329830400,56
5270367399208,68484375000,319508480,56
5300371010002,69656250000,322326528,56
5330374628898,70187500000,321929216,56
5360379209368,70750000000,339169280,55
5390383795705,71281250000,336662528,55
5420388369471,71828125000,336613376,54
5450392985141,72296875000,334405632,54
5480380905673,72687500000,339808256,53
5510383585064,73062500000,327913472,53
5540389155884,73562500000,333459456,51
5570393758983,74140625000,321880064,51
5600399351314,74515625000,328835072,51
5630403945473,75109375000,328568832,51
5660408560305,75546875000,327294976,50
5690414081957,76078125000,318152704,50
5720418683938,76500000000,317071360,48
5750423287317,77062500000,317267968,48
5780429879495,77484375000,317575168,49
5810434412194,77875000000,348889088,49
5840425326961,78312500000,346046464,48
5870412370846,78765625000,343810048,48
5900417916243,79234375000,343289856,49
5930422509844,79718750000,343941120,49
5960428046022,80265625000,343494656,49
5990432653870,80734375000,335572992,49
6020437234341,81171875000,346882048,49
6050441819002,81656250000,346865664,49
6080449328336,82093750000,346828800,49
6110453904895,82625000000,346886144,48
6140459451131,83093750000,346529792,48
6170464028249,83609375000,344915968,48
6200459809556,84062500000,343748608,49
6230467322802,84468750000,343146496,49
6260471881761,84875000000,342761472,49
6290476417533,85281250000,336551936,48
6320479044124,85656250000,335523840,48
6350483633813,86171875000,335761408,48
6380489159097,86578125000,330551296,48
6410487847477,87093750000,330424320,48
6440493406843,87609375000,330530816,48
6470497950717,88125000000,329732096,49
6500503484381,88500000000,329957376,49
6530508028534,88906250000,329490432,49
6560512555646,89421875000,329515008,49
6590511248776,89843750000,328052736,48
6620513840166,90437500000,326938624,49
6650518384319,90953125000,326660096,49
6680523909323,91375000000,326553600,49
