#no,sinx
0,0
1,0.0627905195
2,0.1253332336
3,0.1873813146
4,0.2486898872
5,0.3090169944
6,0.3681245527
7,0.4257792916
8,0.4817536741
9,0.535826795
10,0.5877852523
11,0.6374239897
12,0.6845471059
13,0.7289686274
14,0.7705132428
15,0.8090169944
16,0.8443279255
17,0.87630668
18,0.9048270525
19,0.9297764859
20,0.9510565163
21,0.9685831611
22,0.9822872507
23,0.9921147013
24,0.9980267284
25,1
26,0.9980267284
27,0.9921147013
28,0.9822872507
29,0.9685831611
30,0.9510565163
31,0.9297764859
32,0.9048270525
33,0.87630668
34,0.8443279255
35,0.8090169944
36,0.7705132428
37,0.7289686274
38,0.6845471059
39,0.6374239897
40,0.5877852523
41,0.535826795
42,0.4817536741
43,0.4257792916
44,0.3681245527
45,0.3090169944
46,0.2486898872
47,0.1873813146
48,0.1253332336
49,0.0627905195
50,1.22E-016
51,-0.0627905195
52,-0.1253332336
53,-0.1873813146
54,-0.2486898872
55,-0.3090169944
56,-0.3681245527
57,-0.4257792916
58,-0.4817536741
59,-0.535826795
60,-0.5877852523
61,-0.6374239897
62,-0.6845471059
63,-0.7289686274
64,-0.7705132428
65,-0.8090169944
66,-0.8443279255
67,-0.87630668
68,-0.9048270525
69,-0.9297764859
70,-0.9510565163
71,-0.9685831611
72,-0.9822872507
73,-0.9921147013
74,-0.9980267284
75,-1
76,-0.9980267284
77,-0.9921147013
78,-0.9822872507
79,-0.9685831611
80,-0.9510565163
81,-0.9297764859
82,-0.9048270525
83,-0.87630668
84,-0.8443279255
85,-0.8090169944
86,-0.7705132428
87,-0.7289686274
88,-0.6845471059
89,-0.6374239897
90,-0.5877852523
91,-0.535826795
92,-0.4817536741
93,-0.4257792916
94,-0.3681245527
95,-0.3090169944
96,-0.2486898872
97,-0.1873813146
98,-0.1253332336
99,-0.0627905195
100,-2.45E-016
