#t,cputime,freemem,threads
655304412118,8330000000,8002490368,37
715316289551,11540000000,7832326144,45
775329736571,14310000000,7753142272,45
835342878731,16940000000,7646601216,46
895354935364,19780000000,7646855168,46
955366868452,22910000000,7659806720,46
1015379616334,26310000000,7671377920,45
1075394136150,30080000000,7691550720,46
1135405989560,34450000000,7697891328,45
1195417914832,38400000000,7715905536,47
1255429085433,42420000000,7721627648,46
1315440699326,46210000000,7680741376,46
1375451566076,50050000000,7692550144,46
1435462875500,53810000000,7702589440,45
1495471860158,57550000000,7712993280,46
1555483577112,61120000000,7721127936,45
1615495422213,64710000000,7731539968,45
1675507608483,68010000000,7739285504,45
1735519128497,70840000000,7744991232,46
1795530164870,73400000000,7752482816,46
1855541488149,75670000000,7760736256,46
1915552931224,77680000000,7764045824,45
1975564092698,79420000000,7766712320,45
2035575301143,80870000000,7770894336,45
2095586426884,82060000000,7777361920,46
2155597912834,83020000000,7777632256,44
2215609390588,83750000000,7776624640,43
2275620447799,84280000000,7780179968,43
2335631440179,84640000000,7779926016,44
2395640911064,84860000000,7779799040,44
2455652071286,85010000000,7779688448,42
2515663072540,85180000000,7779696640,41
2575674292698,85340000000,7779577856,40
2635685732106,85560000000,7779459072,39
2695696891827,85950000000,7779155968,45
2755707885358,86450000000,7784505344,43
2815718745026,87180000000,7788552192,45
2875729832959,88120000000,7790338048,44
2935740647769,89350000000,7800860672,45
2995751555946,90970000000,7807328256,46
3055762393321,92780000000,7806201856,44
3115773290534,94860000000,7781052416,45
3175783918215,97220000000,7778885632,45
3235794347925,99850000000,7764680704,44
3295805203541,102730000000,7741227008,45
3355815903780,105820000000,7734337536,45
3415828063476,109130000000,7700434944,44
3475838866165,112560000000,7688626176,44
3535849823405,116150000000,7686975488,44
3595860695424,119860000000,7685824512,45
3655879064030,123610000000,7692435456,44
3715890219707,127410000000,7703982080,44
3775901402382,131190000000,7715028992,45
3835913088577,135030000000,7719735296,44
3895924430678,138650000000,7712354304,46
3955935271324,142090000000,7710593024,44
4015946233543,145350000000,7691665408,45
4075956939943,148410000000,7699165184,44
4135968022961,151160000000,7701696512,45
4195979318156,153710000000,7703855104,45
4255990169041,155950000000,7702298624,45
4316000626045,156210000000,7748517888,44
4376011842873,156310000000,7748399104,43
